Turn 0: 1000000 HEALTHY, 10 INFECTED, 0 DISEASED.
Turn 1: 999998 HEALTHY, 9 INFECTED, 3 DISEASED.
Turn 2: 999994 HEALTHY, 10 INFECTED, 6 DISEASED.
Turn 3: 999993 HEALTHY, 8 INFECTED, 9 DISEASED.
Turn 4: 999989 HEALTHY, 11 INFECTED, 10 DISEASED.
Turn 5: 999987 HEALTHY, 11 INFECTED, 12 DISEASED.
Turn 6: 999985 HEALTHY, 10 INFECTED, 15 DISEASED.
Turn 7: 999982 HEALTHY, 12 INFECTED, 16 DISEASED.
Turn 8: 999980 HEALTHY, 10 INFECTED, 20 DISEASED.
Turn 9: 999980 HEALTHY, 9 INFECTED, 21 DISEASED.
Turn 10: 999977 HEALTHY, 9 INFECTED, 24 DISEASED.
Turn 11: 999970 HEALTHY, 14 INFECTED, 26 DISEASED.
Turn 12: 999962 HEALTHY, 21 INFECTED, 27 DISEASED.
Turn 13: 999952 HEALTHY, 28 INFECTED, 30 DISEASED.
Turn 14: 999941 HEALTHY, 28 INFECTED, 41 DISEASED.
Turn 15: 999939 HEALTHY, 28 INFECTED, 43 DISEASED.
Turn 16: 999936 HEALTHY, 27 INFECTED, 47 DISEASED.
Turn 17: 999925 HEALTHY, 32 INFECTED, 53 DISEASED.
Turn 18: 999917 HEALTHY, 34 INFECTED, 59 DISEASED.
Turn 19: 999906 HEALTHY, 41 INFECTED, 63 DISEASED.
Turn 20: 999899 HEALTHY, 40 INFECTED, 71 DISEASED.
Turn 21: 999885 HEALTHY, 43 INFECTED, 82 DISEASED.
Turn 22: 999875 HEALTHY, 42 INFECTED, 93 DISEASED.
Turn 23: 999862 HEALTHY, 46 INFECTED, 102 DISEASED.
Turn 24: 999852 HEALTHY, 45 INFECTED, 113 DISEASED.
Turn 25: 999836 HEALTHY, 54 INFECTED, 120 DISEASED.
Turn 26: 999819 HEALTHY, 60 INFECTED, 131 DISEASED.
Turn 27: 999796 HEALTHY, 77 INFECTED, 137 DISEASED.
Turn 28: 999778 HEALTHY, 83 INFECTED, 149 DISEASED.
Turn 29: 999758 HEALTHY, 85 INFECTED, 167 DISEASED.
Turn 30: 999737 HEALTHY, 95 INFECTED, 178 DISEASED.
Turn 31: 999692 HEALTHY, 120 INFECTED, 198 DISEASED.
Turn 32: 999651 HEALTHY, 138 INFECTED, 221 DISEASED.
Turn 33: 999609 HEALTHY, 160 INFECTED, 241 DISEASED.
Turn 34: 999561 HEALTHY, 186 INFECTED, 263 DISEASED.
Turn 35: 999505 HEALTHY, 228 INFECTED, 277 DISEASED.
Turn 36: 999449 HEALTHY, 242 INFECTED, 319 DISEASED.
Turn 37: 999391 HEALTHY, 261 INFECTED, 358 DISEASED.
Turn 38: 999296 HEALTHY, 310 INFECTED, 404 DISEASED.
Turn 39: 999212 HEALTHY, 337 INFECTED, 461 DISEASED.
Turn 40: 999123 HEALTHY, 373 INFECTED, 514 DISEASED.
Turn 41: 999015 HEALTHY, 416 INFECTED, 579 DISEASED.
Turn 42: 998907 HEALTHY, 442 INFECTED, 661 DISEASED.
Turn 43: 998773 HEALTHY, 502 INFECTED, 735 DISEASED.
Turn 44: 998638 HEALTHY, 552 INFECTED, 820 DISEASED.
